trial,composition,agent,agent_type,wealth,return_pct
14,financial_focused,career_8,career,10176.469144038709,1.7646914403870868
15,financial_focused,random_0,random,6824.0032238984395,-31.759967761015606
15,financial_focused,momentum_1,momentum,8171.4626178741455,-18.285373821258545
15,financial_focused,momentum_2,momentum,8171.4626178741455,-18.285373821258545
15,financial_focused,mean_rev_3,mean_rev,8083.362640744025,-19.166373592559747
15,financial_focused,mean_rev_4,mean_rev,8083.362640744025,-19.166373592559747
15,financial_focused,value_5,value,10066.110304651143,0.6611030465114345
15,financial_focused,value_6,value,10066.110304651143,0.6611030465114345
15,financial_focused,value_7,value,10066.110304651143,0.6611030465114345
15,financial_focused,career_8,career,9822.240558962869,-1.7775944103713117
16,financial_focused,random_0,random,6385.528790994584,-36.14471209005416
16,financial_focused,momentum_1,momentum,7738.6438718643985,-22.613561281356013
16,financial_focused,momentum_2,momentum,7738.6438718643985,-22.613561281356013
16,financial_focused,mean_rev_3,mean_rev,10025.52035707901,0.25520357079010864
16,financial_focused,mean_rev_4,mean_rev,10025.52035707901,0.25520357079010864
16,financial_focused,value_5,value,9981.584164065149,-0.18415835934851202
16,financial_focused,value_6,value,9981.584164065149,-0.18415835934851202
16,financial_focused,value_7,value,9981.584164065149,-0.18415835934851202
16,financial_focused,career_8,career,10939.24640350603,9.392464035060293
17,financial_focused,random_0,random,6756.044008115307,-32.439559918846925
17,financial_focused,momentum_1,momentum,7443.629045115875,-25.563709548841253
17,financial_focused,momentum_2,momentum,7443.629045115875,-25.563709548841253
17,financial_focused,mean_rev_3,mean_rev,9490.1867090233,-5.098132909766991
17,financial_focused,mean_rev_4,mean_rev,9490.1867090233,-5.098132909766991
17,financial_focused,value_5,value,10156.070936517692,1.5607093651769173
17,financial_focused,value_6,value,10156.070936517692,1.5607093651769173
17,financial_focused,value_7,value,10156.070936517692,1.5607093651769173
17,financial_focused,career_8,career,10319.124974138955,3.191249741389547
18,financial_focused,random_0,random,6337.257019195766,-36.62742980804234
18,financial_focused,momentum_1,momentum,7700.301893657699,-22.996981063423007
18,financial_focused,momentum_2,momentum,7700.301893657699,-22.996981063423007
18,financial_focused,mean_rev_3,mean_rev,10701.91627456624,7.019162745662397
18,financial_focused,mean_rev_4,mean_rev,10701.91627456624,7.019162745662397
18,financial_focused,value_5,value,9625.727921423319,-3.7427207857668146
18,financial_focused,value_6,value,9625.727921423319,-3.7427207857668146
18,financial_focused,value_7,value,9625.727921423319,-3.7427207857668146
18,financial_focused,career_8,career,10776.93948629886,7.769394862988593
19,financial_focused,random_0,random,6291.582699975967,-37.08417300024033
19,financial_focused,momentum_1,momentum,8244.391195386292,-17.556088046137084
19,financial_focused,momentum_2,momentum,8244.391195386292,-17.556088046137084
19,financial_focused,mean_rev_3,mean_rev,9736.91325936728,-2.6308674063271975
