trial,config,states,steps,agent,wealth,return_pct
8,high_1000,high,1000,momentum,7649.763139008385,-23.502368609916147
8,high_1000,high,1000,random,4764.209318328739,-52.357906816712614
9,high_1000,high,1000,ql,4217.940829072438,-57.820591709275625
9,high_1000,high,1000,momentum,8347.330491191424,-16.526695088085763
9,high_1000,high,1000,random,5130.625548192707,-48.693744518072926
10,high_1000,high,1000,ql,4224.993577171205,-57.75006422828795
10,high_1000,high,1000,momentum,7907.353378931862,-20.926466210681383
10,high_1000,high,1000,random,5558.416504928141,-44.41583495071859
11,high_1000,high,1000,ql,2961.128761283394,-70.38871238716607
11,high_1000,high,1000,momentum,8039.424821196936,-19.605751788030638
11,high_1000,high,1000,random,5454.623270572279,-45.45376729427721
12,high_1000,high,1000,ql,3806.799747381247,-61.93200252618753
12,high_1000,high,1000,momentum,7708.280263717524,-22.917197362824762
12,high_1000,high,1000,random,5503.869712213647,-44.961302877863524
13,high_1000,high,1000,ql,3558.6427287615306,-64.41357271238469
13,high_1000,high,1000,momentum,8952.091398099608,-10.479086019003917
13,high_1000,high,1000,random,5625.491518496269,-43.74508481503731
14,high_1000,high,1000,ql,3405.0467171697533,-65.94953282830247
14,high_1000,high,1000,momentum,7582.636473109006,-24.173635268909937
14,high_1000,high,1000,random,4593.453732822076,-54.065462671779244
15,high_1000,high,1000,ql,3100.466874377474,-68.99533125622526
15,high_1000,high,1000,momentum,7706.3182732536625,-22.936817267463375
15,high_1000,high,1000,random,5446.348754929098,-45.536512450709026
16,high_1000,high,1000,ql,4635.576435355064,-53.64423564644936
16,high_1000,high,1000,momentum,8011.907329878153,-19.880926701218467
16,high_1000,high,1000,random,5080.7391344813095,-49.1926086551869
17,high_1000,high,1000,ql,3150.8979782746837,-68.49102021725317
17,high_1000,high,1000,momentum,7066.748573095817,-29.33251426904183
17,high_1000,high,1000,random,4430.154915793021,-55.69845084206979
18,high_1000,high,1000,ql,3174.495538445113,-68.25504461554887
18,high_1000,high,1000,momentum,8161.910068913566,-18.380899310864343
18,high_1000,high,1000,random,5198.444477801857,-48.01555522198143
19,high_1000,high,1000,ql,2940.0620831564083,-70.59937916843592
19,high_1000,high,1000,momentum,7066.048063334132,-29.339519366658678
19,high_1000,high,1000,random,4983.576818976201,-50.164231810237986
20,high_1000,high,1000,ql,4640.583349180572,-53.59416650819428
20,high_1000,high,1000,momentum,7787.848167378075,-22.12151832621925
20,high_1000,high,1000,random,5208.757247490178,-47.91242752509822
21,high_1000,high,1000,ql,3274.586225294404,-67.25413774705595
21,high_1000,high,1000,momentum,8857.458845410478,-11.425411545895223
21,high_1000,high,1000,random,5102.118819432407,-48.97881180567593
22,high_1000,high,1000,ql,2794.430929056708,-72.05569070943292
22,high_1000,high,1000,momentum,8577.736576792824,-14.22263423207176
22,high_1000,high,1000,random,4672.69525763535,-53.2730474236465
23,high_1000,high,1000,ql,3225.828480921994,-67.74171519078006
23,high_1000,high,1000,momentum,7991.115645800207,-20.08884354199793
23,high_1000,high,1000,random,5435.92975930063,-45.6407024069937
24,high_1000,high,1000,ql,4804.047586335095,-51.95952413664905
24,high_1000,high,1000,momentum,7967.348332645125,-20.32651667354875
24,high_1000,high,1000,random,4839.169508790769,-51.60830491209231
25,high_1000,high,1000,ql,3102.5295034834267,-68.97470496516573
25,high_1000,high,1000,momentum,7298.567315277425,-27.014326847225746
25,high_1000,high,1000,random,5109.826159983871,-48.90173840016129
26,high_1000,high,1000,ql,3993.98132317872,-60.06018676821281
26,high_1000,high,1000,momentum,7202.0870670472295,-27.979129329527705
26,high_1000,high,1000,random,5368.810680695019,-46.31189319304981
27,high_1000,high,1000,ql,3932.570020552814,-60.674299794471864
27,high_1000,high,1000,momentum,8010.406632019474,-19.895933679805257
