trial,volatility,agent,wealth,return_pct
5,0.5,random,6596.903446138035,-34.03096553861965
5,0.5,career,11511.016687667507,15.110166876675066
5,0.5,trend,4390.909606942252,-56.090903930577475
5,0.5,genre,10000.0,0.0
5,0.5,mean_rev,10989.383449398369,9.893834493983686
5,0.5,loyalty,9521.666469818987,-4.78333530181013
5,0.5,value,9427.771126469122,-5.7222887353087755
5,0.5,momentum,8379.920545379475,-16.200794546205252
5,0.5,adaptive,8025.208827892562,-19.747911721074377
5,0.5,hybrid,17233.840562878784,72.33840562878784
5,0.5,q_learning,3367.7131745298802,-66.32286825470119
6,0.5,random,6905.716003288434,-30.94283996711566
6,0.5,career,9889.204311909241,-1.1079568809075864
6,0.5,trend,4367.72490836939,-56.322750916306106
6,0.5,genre,10000.0,0.0
6,0.5,mean_rev,10590.212413874186,5.902124138741856
6,0.5,loyalty,9871.954235704628,-1.2804576429537156
6,0.5,value,10521.197103202268,5.211971032022684
6,0.5,momentum,8128.8230501350145,-18.711769498649854
6,0.5,adaptive,6892.224356648238,-31.077756433517617
6,0.5,hybrid,17694.95504035349,76.94955040353489
6,0.5,q_learning,3564.3115602886346,-64.35688439711366
7,0.5,random,6459.673659985762,-35.40326340014238
7,0.5,career,10221.249375055802,2.2124937505580236
7,0.5,trend,4513.804241353654,-54.86195758646346
7,0.5,genre,10000.0,0.0
7,0.5,mean_rev,9884.516188236052,-1.1548381176394833
7,0.5,loyalty,9488.01668392071,-5.119833160792896
7,0.5,value,10181.993700968414,1.819937009684145
7,0.5,momentum,8358.734390526051,-16.412656094739486
7,0.5,adaptive,8006.684493355126,-19.933155066448744
7,0.5,hybrid,16842.75046086829,68.42750460868291
7,0.5,q_learning,4007.4645951306293,-59.925354048693706
8,0.5,random,6163.120311911127,-38.36879688088873
8,0.5,career,11725.176901806226,17.25176901806226
8,0.5,trend,3277.786866526124,-67.22213133473876
8,0.5,genre,10000.0,0.0
8,0.5,mean_rev,9030.356432129352,-9.696435678706475
8,0.5,loyalty,9827.247424005165,-1.7275257599483484
8,0.5,value,10295.696733970379,2.956967339703788
8,0.5,momentum,8543.395743694196,-14.566042563058035
8,0.5,adaptive,7560.716626365818,-24.392833736341817
8,0.5,hybrid,16961.79273051885,69.6179273051885
8,0.5,q_learning,3672.787980742374,-63.27212019257626
9,0.5,random,6204.347284987044,-37.95652715012956
9,0.5,career,10525.53866969718,5.2553866969718
9,0.5,trend,4107.786988223264,-58.92213011776735
9,0.5,genre,10000.0,0.0
9,0.5,mean_rev,7810.521928939303,-21.894780710606973
9,0.5,loyalty,9644.380641353173,-3.5561935864682708
9,0.5,value,9735.663118132969,-2.643368818670315
9,0.5,momentum,8713.757550168486,-12.862424498315141
9,0.5,adaptive,9339.775788731778,-6.602242112682216
9,0.5,hybrid,15871.285699822449,58.71285699822449
9,0.5,q_learning,2749.9424355331757,-72.50057564466825
10,0.5,random,6071.197870611794,-39.28802129388205
10,0.5,career,9858.202304736198,-1.4179769526380186
10,0.5,trend,4285.680450790665,-57.14319549209335
10,0.5,genre,10000.0,0.0
10,0.5,mean_rev,10271.684169524882,2.7168416952488226
10,0.5,loyalty,9571.808640885378,-4.281913591146222
10,0.5,value,9879.15827359859,-1.2084172640140969
10,0.5,momentum,7923.6177554533215,-20.763822445466786
10,0.5,adaptive,7958.700918864603,-20.412990811353964
10,0.5,hybrid,16506.115741415477,65.06115741415476
10,0.5,q_learning,3463.589242315269,-65.3641075768473
11,0.5,random,5717.370855987495,-42.826291440125054
11,0.5,career,8443.19308237964,-15.568069176203608
11,0.5,trend,5489.29797167901,-45.107020283209906
11,0.5,genre,10000.0,0.0
11,0.5,mean_rev,8553.42085483711,-14.465791451628903
11,0.5,loyalty,9512.412181986903,-4.875878180130967
11,0.5,value,9222.128887055713,-7.778711129442872
11,0.5,momentum,8079.733283187997,-19.202667168120033
11,0.5,adaptive,6841.432259150145,-31.58567740849855
11,0.5,hybrid,16361.667051146178,63.61667051146178
11,0.5,q_learning,3555.4800264359087,-64.44519973564091
12,0.5,random,6020.160989075453,-39.798390109245474
12,0.5,career,10359.119326426036,3.5911932642603643
12,0.5,trend,4952.591858665125,-50.47408141334875
12,0.5,genre,10000.0,0.0
12,0.5,mean_rev,9009.308387315465,-9.906916126845353
12,0.5,loyalty,9630.698665054479,-3.6930133494552138
12,0.5,value,8794.23546049041,-12.057645395095896
12,0.5,momentum,8313.554030415067,-16.864459695849327
12,0.5,adaptive,7408.099753824031,-25.919002461759693
12,0.5,hybrid,16269.332297904937,62.69332297904937
12,0.5,q_learning,3530.478164226943,-64.69521835773057
13,0.5,random,6586.022790164206,-34.139772098357945
13,0.5,career,11517.546633126343,15.175466331263433
13,0.5,trend,4590.959511183769,-54.09040488816231
13,0.5,genre,10000.0,0.0
13,0.5,mean_rev,9373.608994360946,-6.263910056390541
13,0.5,loyalty,9690.98514902622,-3.0901485097377916
13,0.5,value,10611.747019013947,6.117470190139466
13,0.5,momentum,7836.065607313894,-21.639343926861056
13,0.5,adaptive,7023.293758892613,-29.767062411073866
13,0.5,hybrid,15041.37878122279,50.413787812227895
13,0.5,q_learning,3940.990881564124,-60.59009118435876
14,0.5,random,6525.493960093376,-34.74506039906624
14,0.5,career,11846.928248893764,18.469282488937644
14,0.5,trend,4869.2683626233675,-51.30731637376633
14,0.5,genre,10000.0,0.0
14,0.5,mean_rev,8903.014850336285,-10.969851496637148
14,0.5,loyalty,9690.779891763732,-3.0922010823626804
14,0.5,value,9373.784916736784,-6.26215083263216
14,0.5,momentum,8329.966433905252,-16.700335660947477
14,0.5,adaptive,8644.06046484009,-13.559395351599106
14,0.5,hybrid,15782.132866443648,57.82132866443648
14,0.5,q_learning,3770.6132158795126,-62.29386784120487
15,0.5,random,6355.918509212067,-36.44081490787933
15,0.5,career,10889.062800641927,8.890628006419265
15,0.5,trend,4327.02631090572,-56.7297368909428
15,0.5,genre,10000.0,0.0
15,0.5,mean_rev,9015.109593293499,-9.848904067065014
15,0.5,loyalty,9500.750967447657,-4.992490325523431
15,0.5,value,9621.304299708361,-3.7869570029163877
15,0.5,momentum,8200.466353210533,-17.995336467894667
15,0.5,adaptive,8003.060015405049,-19.96939984594951
15,0.5,hybrid,15806.390397810692,58.06390397810692
15,0.5,q_learning,3214.2318748173784,-67.85768125182622
16,0.5,random,6214.548265196466,-37.854517348035344
16,0.5,career,10553.959190342106,5.53959190342106
16,0.5,trend,4398.536811124285,-56.01463188875715
16,0.5,genre,10000.0,0.0
16,0.5,mean_rev,9287.903155731501,-7.120968442684989
16,0.5,loyalty,9503.392648798794,-4.966073512012063
16,0.5,value,9874.973497566485,-1.250265024335149
16,0.5,momentum,7774.50259224791,-22.254974077520902
16,0.5,adaptive,7876.923661386597,-21.23076338613403
16,0.5,hybrid,17468.234596124417,74.68234596124417
16,0.5,q_learning,3741.9360490281306,-62.580639509718694
17,0.5,random,6397.845749937237,-36.02154250062763
17,0.5,career,8901.553922429102,-10.984460775708976
17,0.5,trend,4935.565812357647,-50.64434187642353
17,0.5,genre,10000.0,0.0
17,0.5,mean_rev,9359.80639917823,-6.401936008217708
17,0.5,loyalty,9532.334571442938,-4.6766542855706215
17,0.5,value,9378.776944833548,-6.212230551664525
17,0.5,momentum,8256.951574899025,-17.430484251009748
17,0.5,adaptive,7739.520003046045,-22.604799969539553
17,0.5,hybrid,16503.58083504097,65.03580835040971
17,0.5,q_learning,3987.532267032275,-60.124677329677255
18,0.5,random,7131.722355432047,-28.68277644567953
18,0.5,career,10256.782314208449,2.5678231420844897
18,0.5,trend,5798.956833259627,-42.01043166740373
18,0.5,genre,10000.0,0.0
18,0.5,mean_rev,9425.108270949666,-5.748917290503341
